State,Year,SO2,NO2,PM2.5,Mpc,zscore,spot,xco,yco
Kerala,2013,3.3945182718695803,10.899667720657265,47.200351455054346,20.49817914919373,-11.616,-1.0,10.7867,76.6548
Kerala,2014,3.767063004835276,11.76612746583596,44.8170869880276,20.11675915289961,-7.723,-1.0,10.7867,76.6548
Kerala,2015,3.0526969896060594,12.064757898269006,43.81776925600293,19.645074714626002,-13.527,-1.0,10.7867,76.6548
Kerala,2016,2.519477099902641,11.893500850494148,44.76157838439094,19.724852111595908,-79.372,-1.0,10.7867,76.6548
Kerala,2017,2.2736194633843385,12.56540096056237,47.0755024181137,20.6381742806868,-24.556,-1.0,10.7867,76.6548
Kerala,2018,2.3143357174897656,13.528329744510584,50.13040339132845,21.9910229511096,-13.994,-1.0,10.7867,76.6548
Kerala,2019,1.8608666239353493,13.916350651590015,51.73010949229902,22.50244225594146,-6.508,-1.0,10.7867,76.6548
Kerala,2020,1.8416499042881849,14.201128956831989,51.65627856711664,22.566352476078936,-5.864,-1.0,10.7867,76.6548
Madhya Pradesh,2011,11.465700856894582,19.09865366129253,128.32913607816192,52.96449686544968,-0.643,-1.0,23.2599,77.4126
Madhya Pradesh,2012,11.600354698103228,20.013905109572157,133.93769284088225,55.18398421618588,-0.422,0.0,23.2599,77.4126
Madhya Pradesh,2013,11.14752408402436,20.370245236668733,131.7649037714618,54.42755769738496,-0.28,0.0,23.2599,77.4126
Madhya Pradesh,2014,9.344945552471206,17.98028249716541,119.28814638011032,48.87112480991564,-0.718,-1.0,23.2599,77.4126
Madhya Pradesh,2015,10.56388185520466,20.35856840088943,96.17374770534276,42.36539932047895,-1.133,-1.0,23.2599,77.4126
Madhya Pradesh,2016,11.829797800399112,20.338294586544077,77.2415079386548,36.46986677519933,-1.371,-1.0,23.2599,77.4126
Madhya Pradesh,2017,12.54856327287382,20.33944077777657,60.83197469033986,31.239992913663418,-1.646,-1.0,23.2599,77.4126
Madhya Pradesh,2018,13.26732874534853,20.34058696900906,44.42244144202492,26.010119052127504,-1.74,-1.0,23.2599,77.4126
Madhya Pradesh,2019,13.986094217823242,20.34173316024155,28.012908193709983,20.78024519059159,-1.761,-1.0,23.2599,77.4126
Madhya Pradesh,2020,14.787232718445184,18.132498281260617,8.763312774037173,13.894347924580991,-1.761,-1.0,23.2599,77.4126
Maharashtra,2011,20.37789810527408,35.88055739519041,108.59762265395038,54.95202605147163,1.188,1.0,19.8762,75.3433
Maharashtra,2012,18.039295688313764,35.58489716879958,101.64543687989216,51.7565432456685,0.912,1.0,19.8762,75.3433
Maharashtra,2013,16.43272642782561,31.34335614283081,102.66392884586242,50.14667047217295,0.937,1.0,19.8762,75.3433
Maharashtra,2014,18.71028380981493,35.79377291016719,107.29321725593316,53.93242465863843,1.498,1.0,19.8762,75.3433
Maharashtra,2015,16.772860152684125,34.868918584758006,104.45812255345936,52.0333004303005,1.616,1.0,19.8762,75.3433
Maharashtra,2016,14.828841725800654,33.81776128600638,101.49466242985706,50.04708848055469,1.632,1.0,19.8762,75.3433
Maharashtra,2017,12.245627075932664,32.81566357357384,100.08815586669942,48.38314883873531,1.503,1.0,19.8762,75.3433
Maharashtra,2018,8.980617510810438,31.885579298845155,98.71148876864288,46.525895192766164,1.344,1.0,19.8762,75.3433
Maharashtra,2019,6.348729997276437,30.891753993457623,97.29857379061244,44.84635259378217,1.174,1.0,19.8762,75.3433
Maharashtra,2020,3.771739862630384,29.912237127165792,96.01072842972457,43.23156847317358,1.109,1.0,19.8762,75.3433
Meghalaya,2011,14.171893224578698,8.95733541727971,71.81927514754636,31.649501263134923,0.0,1.0,25.57049217,91.8800142
Meghalaya,2012,7.561329912183929,9.485554856410843,59.781375782205664,25.609420183600147,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2013,5.427653721682848,9.17101882316993,54.46684092179133,23.021837822214703,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2014,6.142673992673992,10.521237171940497,58.74083628253479,25.134915815716425,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2015,5.6155661516575135,9.476992385622513,54.05070806686667,23.047755534715566,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2016,6.293647027860207,6.703696846723838,40.02481251078972,17.67405212845792,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2017,6.0759117606764095,5.439778574565476,33.524920146129,15.013536827123628,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2018,5.858176493492613,4.175860302407114,27.02502778146828,12.353021525789336,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2019,5.640441226308816,2.911942030248752,20.525135416807554,9.692506224455041,0.0,-1.0,25.57049217,91.8800142
Meghalaya,2020,5.72009663365136,1.600698270087866,13.69212327818415,7.004306060641125,0.0,-1.0,25.57049217,91.8800142
Mizoram,2011,2.0,4.992540632359929,56.66539597853192,21.219312203630615,0.0,-1.0,23.71039899,92.72001461
Mizoram,2012,2.0,5.216931146544327,58.99615838987944,22.071029845474587,0.0,-1.0,23.71039899,92.72001461
Mizoram,2013,2.1368353872275043,5.739646825292461,48.69678386693145,18.857755359817137,0.0,-1.0,23.71039899,92.72001461
Mizoram,2014,2.0331353695322685,5.651923076923077,43.27978122911863,16.988279891857992,0.0,-1.0,23.71039899,92.72001461
Mizoram,2015,2.0586876001725907,5.951820809623845,38.43464947112812,15.481719293641518,0.0,-1.0,23.71039899,92.72001461
Mizoram,2016,2.368607379042099,5.639699468682503,31.82929454288016,13.27920046353492,0.0,-1.0,23.71039899,92.72001461
Mizoram,2017,2.6785271579116072,5.327578127741162,25.2239396146322,11.076681633428322,0.0,-1.0,23.71039899,92.72001461
Mizoram,2018,2.9884469367811155,5.01545678679982,18.61858468638425,8.87416280332173,0.0,-1.0,23.71039899,92.72001461
Mizoram,2019,3.298366715650624,4.703335445858478,12.013229758136289,6.67164397321513,0.0,-1.0,23.71039899,92.72001461
Mizoram,2020,3.608286494520133,4.391214104917137,5.407874829888328,4.469125143108532,0.0,-1.0,23.71039899,92.72001461
Nagaland,2011,2.0,6.134182959031261,82.33213174366088,30.155438234230715,0.688,1.0,26.2357,94.8132
Nagaland,2012,2.0,6.134182959031261,82.33213174366088,30.155438234230715,0.688,1.0,26.2357,94.8132
Nagaland,2013,2.0,5.244897959183674,92.9031117397454,33.38266989964303,-0.106,0.0,26.2357,94.8132
Nagaland,2014,2.0,5.244897959183674,92.9031117397454,33.38266989964303,1.53,1.0,26.2357,94.8132
Nagaland,2015,2.0,6.827146464646464,107.8060606060606,38.87773569023569,0.744,1.0,26.2357,94.8132
Nagaland,2016,2.0,8.409394970109254,122.70900947237584,44.372801480828365,0.439,0.0,26.2357,94.8132
Nagaland,2017,2.0,9.991643475572046,137.61195833869104,49.86786727142103,0.238,0.0,26.2357,94.8132
Nagaland,2018,2.0,11.573891981034835,152.51490720500624,55.362933062013695,0.113,0.0,26.2357,94.8132
Nagaland,2019,2.0,13.156140486497629,167.41785607132147,60.857998852606364,0.029,0.0,26.2357,94.8132
Nagaland,2020,2.0,14.738388991960417,182.3208049376367,66.35306464319903,-0.044,0.0,26.2357,94.8132
Odisha,2011,4.193707773611879,16.132175239417172,89.32978287970404,36.55188863091103,-1.079,-1.0,21.0742,84.3411
Odisha,2012,4.186808013203023,16.225261234582476,89.3336987688411,36.58192267220887,-1.049,-1.0,21.0742,84.3411
Odisha,2013,4.450157411031889,15.756232314580034,85.83236919584765,35.34625297381986,-1.186,-1.0,21.0742,84.3411
Odisha,2014,4.785303565140199,16.955095738123457,87.76321876057641,36.50120602128002,-1.129,-1.0,21.0742,84.3411
Odisha,2015,5.949033377208085,16.095231437207214,88.16804600634417,36.737436940253154,-1.021,-1.0,21.0742,84.3411
Odisha,2016,8.975376963112604,15.94316393214777,87.71649818189627,37.54501302571888,-0.847,-1.0,21.0742,84.3411
